wavelength, amplitude
179.267, 11.06
179.649, 11.06
180.031, 11.06
180.413, -44.02
180.795, -59.29
181.177, -64.99
181.559, -58.95
181.941, -63.56
182.323, -61.19
182.705, -47.42
183.087, -44.57
183.469, -37.38
183.85, -14.11
184.232, -9.15
184.614, 4.28
184.995, 26.67
185.377, 43.08
185.759, 47.76
186.14, 78.5
186.522, 91.79
186.903, 109.23
187.285, 128.7
187.666, 140.77
188.047, 168.93
188.429, 190.98
188.81, 210.11
189.191, 221.51
189.573, 239.42
189.954, 258.28
190.335, 267.03
190.716, 286.77
191.097, 284.73
191.478, 298.3
191.859, 309.5
192.24, 326.05
192.621, 333.17
193.002, 344.57
193.383, 342.33
193.764, 352.57
194.145, 354.95
194.526, 369.4
194.906, 372.93
195.287, 387.17
195.668, 385.54
196.048, 389.62
196.429, 388.67
196.81, 381.47
197.19, 377.95
197.571, 387.78
197.951, 387.58
198.331, 389.21
198.712, 391.85
199.092, 392.19
199.472, 390.43
199.853, 370.69
200.233, 371.09
200.613, 376.39
200.993, 381.47
201.373, 366.89
201.754, 372.66
202.134, 362.07
202.514, 372.86
202.894, 361.19
203.274, 366.01
203.654, 364.18
204.033, 376.32
204.413, 355.42
204.793, 356.1
205.173, 360.17
205.553, 358.68
205.932, 361.33
206.312, 352.71
206.692, 354.61
207.071, 340.5
207.451, 362.07
207.83, 345.25
208.21, 340.36
208.589, 348.84
208.969, 356.03
209.348, 345.59
209.727, 341.45
210.107, 354.13
210.486, 351.08
210.865, 355.83
211.244, 348.44
211.623, 347.96
212.003, 350.27
212.382, 346.67
212.761, 350.54
213.14, 358.48
213.519, 361.12
213.898, 356.64
214.276, 344.23
214.655, 344.98
215.034, 353.39
215.413, 353.46
215.792, 355.29
216.17, 352.3
216.549, 354.2
216.928, 353.05
217.306, 364.18
217.685, 350.2
218.064, 369.47
218.442, 365.46
218.82, 356.85
219.199, 367.23
219.577, 357.73
219.956, 350.81
220.334, 361.26
220.712, 364.65
221.091, 356.92
221.469, 370.01
221.847, 363.77
222.225, 368.86
222.603, 363.56
222.981, 367.09
223.359, 355.83
223.737, 366.55
224.115, 375.37
224.493, 358.82
224.871, 360.78
225.249, 370.28
225.627, 370.96
226.004, 364.85
226.382, 361.26
226.76, 358.61
227.137, 356.78
227.515, 372.86
227.893, 369.13
228.27, 369.74
228.648, 360.17
229.025, 374.42
229.403, 358.54
229.78, 372.72
230.157, 360.24
230.535, 365.6
230.912, 358.07
