wavelength, amplitude
179.267, 6.96
179.649, 6.96
180.031, 6.96
180.413, -31.84
180.795, -50.16
181.177, -61.01
181.559, -60.34
181.941, -74.18
182.323, -63.19
182.705, -46.5
183.087, -49.62
183.469, -20.04
183.85, -34.83
184.232, -9.32
184.614, 6.83
184.995, 10.22
185.377, 41.97
185.759, 59.34
186.14, 82.27
186.522, 103.03
186.903, 115.37
187.285, 113.88
187.666, 129.35
188.047, 152.14
188.429, 170.46
188.81, 204.11
189.191, 222.83
189.573, 219.03
189.954, 251.33
190.335, 259.33
190.716, 261.91
191.097, 276.02
191.478, 303.56
191.859, 289.86
192.24, 306.68
192.621, 319.3
193.002, 332.73
193.383, 322.69
193.764, 344.67
194.145, 348.34
194.526, 365.16
194.906, 357.97
195.287, 355.67
195.668, 363.81
196.048, 372.9
196.429, 360.55
196.81, 377.65
197.19, 368.96
197.571, 373.3
197.951, 369.64
198.331, 387.28
198.712, 364.89
199.092, 386.19
199.472, 378.6
199.853, 385.11
200.233, 351.46
200.613, 377.51
200.993, 360.96
201.373, 373.17
201.754, 357.7
202.134, 367.88
202.514, 366.25
202.894, 343.73
203.274, 356.89
203.654, 354.44
204.033, 356.61
204.413, 348.47
204.793, 343.32
205.173, 339.52
205.553, 348.07
205.932, 359.6
206.312, 351.59
206.692, 339.11
207.071, 333.28
207.451, 347.66
207.83, 353.36
208.21, 340.74
208.589, 343.32
208.969, 342.23
209.348, 343.59
209.727, 349.83
210.107, 332.73
210.486, 339.38
210.865, 332.6
211.244, 324.19
211.623, 341.55
212.003, 333.14
212.382, 343.18
212.761, 347.66
213.14, 333.82
213.519, 337.08
213.898, 327.71
214.276, 338.7
214.655, 329.61
215.034, 335.45
215.413, 334.63
215.792, 347.8
216.17, 330.16
216.549, 343.73
216.928, 330.02
217.306, 343.05
217.685, 354.85
218.064, 337.89
218.442, 322.69
218.82, 359.46
219.199, 346.44
219.577, 353.22
219.956, 341.15
220.334, 341.69
220.712, 337.89
221.091, 351.87
221.469, 354.04
221.847, 347.25
222.225, 357.56
222.603, 362.86
222.981, 351.32
223.359, 364.62
223.737, 352.54
