wavelength, amplitude
179.267, 13.75
179.649, 13.75
180.031, 13.75
180.413, -44.12
180.795, -47.92
181.177, -49.89
181.559, -70.78
181.941, -59.05
182.323, -60
182.705, -52.33
183.087, -34.08
183.469, -32.18
183.85, -23.43
184.232, -0.7
184.614, 2.01
184.995, 24.33
185.377, 44.27
185.759, 46.11
186.14, 66.46
186.522, 86.95
186.903, 112.32
187.285, 126.63
187.666, 143.05
188.047, 157.09
188.429, 176.97
188.81, 184.84
189.191, 208.31
189.573, 233.42
189.954, 241.96
190.335, 255.87
190.716, 271.95
191.097, 285.59
191.478, 295.9
191.859, 299.97
192.24, 314.49
192.621, 335.11
193.002, 336.19
193.383, 342.71
193.764, 349.83
194.145, 369.03
194.526, 366.79
194.906, 362.86
195.287, 363.06
195.668, 362.18
196.048, 383.75
196.429, 371.07
196.81, 373.1
197.19, 384.9
197.571, 377.24
197.951, 373.1
198.331, 369.44
198.712, 373.58
199.092, 361.7
199.472, 376.56
199.853, 369.44
200.233, 369.78
200.613, 366.86
200.993, 367.54
201.373, 364.01
201.754, 357.63
202.134, 363.81
202.514, 355.87
202.894, 346.3
203.274, 349.49
203.654, 347.73
204.033, 358.72
204.413, 342.16
204.793, 360.21
205.173, 351.59
205.553, 337.76
205.932, 343.18
206.312, 340.27
206.692, 354.38
207.071, 353.29
207.451, 338.37
207.83, 338.98
208.21, 329.48
208.589, 338.16
208.969, 343.45
209.348, 345.56
209.727, 331.92
210.107, 335.52
210.486, 339.38
210.865, 332.12
211.244, 335.31
211.623, 325.14
212.003, 335.25
212.382, 334.63
212.761, 337.82
213.14, 344.74
213.519, 325.82
213.898, 343.86
214.276, 327.85
214.655, 344
215.034, 347.66
215.413, 338.3
215.792, 342.57
216.17, 341.69
216.549, 338.16
216.928, 328.94
217.306, 346.37
217.685, 354.04
218.064, 343.66
218.442, 354.44
218.82, 349.42
219.199, 345.76
219.577, 337.35
219.956, 335.79
220.334, 342.84
220.712, 331.17
221.091, 344.81
221.469, 357.09
221.847, 356.41
222.225, 338.03
222.603, 351.59
222.981, 356.28
223.359, 346.24
223.737, 356.95
224.115, 352.27
224.493, 345.83
224.871, 354.51
225.249, 352.27
225.627, 343.32
226.004, 353.56
226.382, 349.97
226.76, 349.29
227.137, 353.16
227.515, 345.35
227.893, 350.71
228.27, 359.19
228.648, 349.29
229.025, 354.04
229.403, 360.82
229.78, 343.93
230.157, 350.44
230.535, 351.26
230.912, 352
231.289, 360.89
231.667, 357.16
232.044, 361.09
232.421, 363.67
232.798, 357.77
233.175, 356.82
233.552, 362.52
233.929, 356.75
234.306, 343.66
234.683, 358.85
235.06, 354.1
235.437, 357.09
235.814, 350.03
236.19, 356.07
236.567, 366.93
236.944, 358.31
237.32, 362.72
237.697, 356.82
238.074, 355.53
238.45, 362.04
238.827, 366.52
239.203, 355.94
239.58, 361.16
239.956, 359.33
240.332, 365.91
240.709, 374.53
241.085, 367.2
241.461, 360.41
241.838, 361.77
242.214, 360.41
242.59, 356.55
242.966, 377.44
243.342, 359.74
243.718, 366.59
244.094, 358.18
244.47, 372.63
244.846, 375.34
245.222, 372.96
245.598, 364.15
245.973, 364.35
246.349, 363.26
246.725, 362.79
247.101, 361.09
247.476, 366.18
247.852, 365.3
248.228, 360.35
248.603, 368.83
248.979, 367.06
249.354, 370.25
249.73, 356.48
250.105, 352.61
250.48, 373.78
250.856, 368.83
251.231, 358.24
251.606, 373.24
251.981, 365.5
252.357, 350.85
252.732, 364.15
253.107, 369.91
253.482, 367.67
253.857, 366.11
254.232, 360.62
254.607, 370.86
254.982, 369.98
255.357, 363.47
255.731, 371.54
256.106, 374.8
256.481, 377.51
256.856, 375.34
257.23, 373.51
257.605, 374.86
257.98, 370.25
258.354, 368.69
258.729, 363.6
259.103, 372.83
259.478, 375.88
259.852, 374.73
260.227, 372.76
260.601, 367.06
260.975, 351.93
261.35, 367.06
261.724, 363.87
262.098, 368.15
262.472, 360.82
262.846, 375.2
263.22, 360.55
263.594, 375.95
263.968, 376.76
264.342, 370.59
264.716, 360.28
265.09, 372.42
265.464, 371.68
265.838, 366.93
266.212, 375.61
266.586, 371.13
266.959, 372.83
267.333, 368.89
267.707, 385.18
268.08, 370.25
268.454, 367.2
268.827, 375.41
269.201, 371.07
269.574, 383.28
269.948, 376.02
270.321, 372.63
270.694, 377.98
271.068, 381.31
271.441, 382.6
271.814, 368.42
272.187, 372.22
272.56, 363.06
272.933, 371.95
273.307, 372.56
273.68, 380.02
274.053, 379.21
274.425, 378.32
274.798, 370.25
275.171, 369.78
275.544, 367.88
275.917, 377.37
276.29, 375.14
276.662, 384.43
277.035, 367.27
277.408, 391.69
277.78, 376.02
278.153, 373.58
278.525, 383.48
278.898, 383.41
279.27, 374.19
279.643, 377.65
280.015, 376.7
280.388, 378.66
280.76, 380.16
281.132, 373.37
281.504, 377.78
281.877, 372.42
282.249, 379.68
282.621, 382.67
282.993, 383.14
283.365, 381.31
283.737, 385.31
284.109, 371.27
284.481, 384.29
284.853, 369.17
285.225, 379.95
285.596, 382.46
285.968, 388.98
286.34, 371.68
286.712, 381.04
287.083, 388.5
287.455, 380.5
287.826, 386.8
288.198, 371
288.569, 380.83
288.941, 381.99
289.312, 369.78
289.684, 377.78
290.055, 383.55
290.426, 386.47
290.798, 390.47
291.169, 376.09
291.54, 371.2
291.911, 381.44
292.282, 376.15
292.653, 374.19
293.024, 378.39
293.395, 389.79
293.766, 388.5
294.137, 380.7
294.508, 376.49
294.879, 388.23
295.25, 387.01
295.621, 380.43
295.991, 366.93
296.362, 383.95
296.733, 376.56
297.103, 381.58
297.474, 377.04
297.844, 391.21
298.215, 368.15
298.585, 374.86
298.956, 372.08
299.326, 384.77
299.697, 387.14
300.067, 379.82
300.437, 388.36
300.807, 374.86
301.177, 383.21
301.548, 377.24
301.918, 380.9
302.288, 379.07
302.658, 376.22
303.028, 380.83
303.398, 378.05
303.768, 378.39
304.138, 385.45
304.507, 375.34
304.877, 384.7
305.247, 384.23
305.617, 371.07
305.986, 379.61
306.356, 377.04
306.726, 379.07
307.095, 383.68
307.465, 378.32
307.834, 381.17
308.204, 388.7
308.573, 385.92
308.942, 374.25
309.312, 388.43
309.681, 381.92
310.05, 389.18
310.42, 389.31
310.789, 374.12
311.158, 383.89
311.527, 379.41
311.896, 382.87
312.265, 384.63
312.634, 385.58
313.003, 385.65
313.372, 370.52
313.741, 376.29
314.11, 386.47
314.478, 379.88
314.847, 391.96
315.216, 377.85
315.584, 379.27
315.953, 382.53
316.322, 380.43
316.69, 389.25
317.059, 386.67
317.427, 380.16
317.796, 396.51
318.164, 398.88
318.532, 422.42
318.901, 469.37
319.269, 596.3
319.637, 712.31
320.005, 624.04
320.374, 452.41
320.742, 402.34
321.11, 388.23
321.478, 381.92
321.846, 389.18
322.214, 379.88
322.582, 390.06
322.95, 389.45
323.317, 382.67
323.685, 381.85
324.053, 385.52
324.421, 386.4
324.788, 395.56
325.156, 386.19
325.524, 382.06
325.891, 383.89
326.259, 381.65
326.626, 385.52
326.994, 384.36
327.361, 377.04
327.728, 388.23
328.096, 393.18
328.463, 378.73
328.83, 388.36
329.198, 381.65
329.565, 389.59
329.932, 397.52
330.299, 395.42
330.666, 387.21
331.033, 390.06
331.4, 391.35
331.767, 385.38
332.134, 381.51
332.501, 379.55
332.867, 388.03
333.234, 382.19
333.601, 384.63
333.968, 388.16
334.334, 387.55
334.701, 390.81
335.068, 390.4
335.434, 377.58
335.801, 391.69
336.167, 389.52
336.533, 394.88
336.9, 387.21
337.266, 387.35
337.632, 379.07
337.999, 381.04
338.365, 384.57
338.731, 375.47
339.097, 370.66
339.463, 383.14
339.829, 382.53
340.195, 383.68
340.561, 391.01
340.927, 382.8
341.293, 388.84
341.659, 386.06
342.025, 392.77
342.391, 387.82
342.756, 384.97
343.122, 379.82
343.488, 389.04
343.853, 386.06
344.219, 381.44
344.585, 395.15
344.95, 407.16
345.316, 397.66
345.681, 405.73
346.046, 392.44
346.412, 389.18
346.777, 392.71
347.142, 404.78
347.507, 384.16
347.873, 379.21
348.238, 401.19
348.603, 381.65
348.968, 385.58
349.333, 385.04
349.698, 389.18
350.063, 384.16
350.428, 392.44
350.793, 373.64
351.157, 380.36
351.522, 380.43
351.887, 380.29
352.252, 390.33
352.616, 387.35
352.981, 387.28
353.346, 379.55
353.71, 383.01
354.075, 385.79
354.439, 397.59
354.803, 384.5
355.168, 391.42
355.532, 380.29
355.896, 389.31
356.261, 392.3
356.625, 388.5
356.989, 376.9
357.353, 388.84
357.717, 384.02
358.081, 388.5
358.445, 383.62
358.809, 394.06
359.173, 389.92
359.537, 394.74
359.901, 399.29
360.265, 392.98
360.629, 390.06
360.992, 393.52
361.356, 403.02
361.72, 409.87
362.083, 432.12
362.447, 427.37
362.81, 394.95
363.174, 390.13
363.537, 400.03
363.901, 384.43
364.264, 402.2
364.627, 407.9
364.991, 385.52
365.354, 392.03
365.717, 393.18
366.08, 393.52
366.443, 393.25
366.806, 385.85
367.17, 385.79
367.533, 385.45
367.895, 381.04
368.258, 377.24
368.621, 384.29
368.984, 388.91
369.347, 375.68
369.71, 394.54
370.072, 388.64
370.435, 395.28
370.798, 422.62
371.16, 430.43
371.523, 421.88
371.885, 401.39
372.248, 386.53
372.61, 379.34
372.973, 383.41
373.335, 391.69
373.697, 388.09
374.06, 406.34
374.422, 395.49
374.784, 386.94
375.146, 379.21
375.508, 388.09
375.87, 381.72
376.232, 376.22
376.594, 379.41
376.956, 392.5
377.318, 383.75
377.68, 379.55
378.042, 395.49
378.404, 389.99
378.765, 384.09
379.127, 389.79
379.489, 384.23
379.85, 385.52
380.212, 382.67
380.573, 395.28
380.935, 396.37
381.296, 407.29
381.658, 413.47
382.019, 454.65
382.38, 528.32
382.742, 599.76
383.103, 523.71
383.464, 430.7
383.825, 391.21
384.186, 393.59
384.547, 400.64
384.909, 412.24
385.27, 401.53
385.63, 423.03
385.991, 419.1
386.352, 413.94
386.713, 448.34
387.074, 482.87
387.435, 583.61
387.795, 771.8
388.156, 1206.8
388.517, 2227.81
388.877, 4951.01
389.238, 12188.64
389.598, 19323.01
389.959, 11643.06
390.319, 3320.25
390.679, 1169.69
391.04, 690.6
391.4, 545.76
391.76, 469.57
392.121, 452.88
392.481, 439.38
392.841, 445.96
393.201, 425.81
393.561, 425.88
393.921, 418.21
394.281, 423.64
394.641, 400.44
395.001, 407.43
395.361, 422.83
395.72, 420.45
396.08, 436.12
396.44, 498.47
396.8, 631.91
397.159, 804.84
397.519, 675.87
397.878, 488.36
398.238, 417.67
398.597, 403.76
398.957, 411.84
399.316, 399.35
399.675, 400.64
400.035, 410.68
400.394, 406.48
400.753, 398.34
401.112, 412.92
