wavelength, amplitude
179.267, -33.01
179.649, -33.01
180.031, -33.01
180.413, -7.64
180.795, -7.64
181.177, -72.23
181.559, -19.17
181.941, -33.01
182.323, -139.12
182.705, -56.08
183.087, -92.98
183.469, -37.63
183.85, 43.1
184.232, -0.72
184.614, -46.85
184.995, 63.86
185.377, 45.41
185.759, 43.1
186.14, 40.8
186.522, 105.38
186.903, 156.13
187.285, 110
187.666, 121.53
188.047, 121.53
188.429, 167.66
188.81, 119.22
189.191, 151.51
189.573, 243.78
189.954, 289.91
190.335, 229.94
190.716, 299.14
191.097, 301.44
191.478, 398.32
191.859, 310.67
192.24, 322.2
192.621, 366.03
193.002, 329.12
193.383, 285.3
193.764, 338.35
194.145, 349.88
194.526, 398.32
194.906, 352.19
195.287, 386.79
195.668, 352.19
196.048, 405.24
196.429, 317.59
196.81, 428.31
197.19, 354.49
197.571, 386.79
197.951, 368.33
198.331, 379.87
198.712, 370.64
199.092, 375.25
199.472, 400.63
199.853, 372.95
200.233, 345.27
200.613, 377.56
200.993, 370.64
201.373, 384.48
201.754, 393.71
202.134, 384.48
202.514, 377.56
202.894, 363.72
203.274, 389.09
203.654, 366.03
204.033, 393.71
204.413, 382.17
204.793, 389.09
205.173, 312.98
205.553, 342.96
205.932, 407.55
206.312, 389.09
206.692, 377.56
207.071, 382.17
207.451, 396.01
207.83, 340.66
208.21, 386.79
208.589, 391.4
208.969, 361.41
209.348, 276.07
209.727, 354.49
210.107, 359.11
210.486, 352.19
210.865, 349.88
211.244, 354.49
211.623, 306.06
212.003, 368.33
212.382, 354.49
212.761, 359.11
213.14, 361.41
213.519, 322.2
213.898, 386.79
214.276, 384.48
214.655, 308.36
215.034, 308.36
215.413, 368.33
215.792, 382.17
216.17, 319.9
216.549, 342.96
216.928, 379.87
217.306, 400.63
217.685, 393.71
218.064, 338.35
218.442, 363.72
218.82, 372.95
219.199, 435.23
219.577, 269.15
219.956, 347.58
220.334, 301.44
220.712, 366.03
221.091, 372.95
221.469, 345.27
221.847, 361.41
222.225, 366.03
222.603, 333.74
222.981, 389.09
223.359, 352.19
223.737, 331.43
224.115, 282.99
224.493, 299.14
224.871, 391.4
225.249, 423.69
225.627, 289.91
226.004, 361.41
226.382, 324.51
226.76, 329.12
227.137, 363.72
227.515, 407.55
227.893, 312.98
228.27, 354.49
228.648, 370.64
229.025, 389.09
229.403, 345.27
229.78, 382.17
230.157, 407.55
230.535, 363.72
230.912, 303.75
231.289, 356.8
231.667, 306.06
232.044, 437.53
232.421, 361.41
232.798, 368.33
233.175, 342.96
233.552, 368.33
233.929, 384.48
234.306, 349.88
234.683, 391.4
235.06, 363.72
235.437, 368.33
235.814, 402.93
236.19, 322.2
236.567, 347.58
236.944, 402.93
237.32, 354.49
237.697, 375.25
238.074, 359.11
238.45, 375.25
238.827, 338.35
239.203, 361.41
239.58, 370.64
239.956, 359.11
240.332, 361.41
240.709, 342.96
241.085, 391.4
241.461, 359.11
241.838, 419.08
242.214, 340.66
242.59, 400.63
