wavelength, amplitude
179.267, 22.84
179.649, 22.84
180.031, 22.84
180.413, -44.22
180.795, -60.02
181.177, -67.29
181.559, -52.21
181.941, -66.94
182.323, -51.68
182.705, -46
183.087, -32.16
183.469, -41.39
183.85, -24
184.232, 7.23
184.614, -2.53
184.995, 14.33
185.377, 38.46
185.759, 53.36
186.14, 78.73
186.522, 87.78
186.903, 104.28
187.285, 127
187.666, 134.27
188.047, 158.58
188.429, 170.11
188.81, 193
189.191, 200.1
189.573, 220.5
189.954, 240.37
190.335, 262.38
190.716, 254.39
191.097, 292.89
191.478, 288.81
191.859, 327.14
192.24, 310.81
192.621, 331.4
193.002, 327.67
193.383, 326.07
193.764, 344.53
194.145, 356.77
194.526, 359.61
194.906, 355.17
195.287, 365.28
195.668, 368.66
196.048, 365.82
196.429, 351.27
196.81, 368.12
197.19, 368.48
197.571, 375.4
197.951, 371.14
198.331, 370.25
198.712, 362.45
199.092, 375.58
199.472, 376.46
199.853, 357.48
200.233, 361.2
200.613, 356.77
200.993, 363.69
201.373, 360.67
201.754, 348.07
202.134, 371.14
202.514, 365.46
202.894, 359.25
203.274, 351.27
203.654, 359.78
204.033, 341.86
204.413, 361.2
204.793, 357.12
205.173, 364.22
205.553, 347.54
205.932, 338.49
206.312, 361.74
206.692, 351.62
207.071, 353.93
207.451, 338.67
207.83, 329.8
208.21, 327.85
208.589, 335.48
208.969, 334.06
209.348, 328.02
209.727, 342.22
210.107, 338.67
210.486, 327.14
210.865, 338.67
211.244, 352.16
211.623, 322.52
212.003, 314.36
212.382, 339.2
212.761, 340.98
213.14, 341.15
213.519, 336.36
213.898, 348.25
214.276, 341.51
214.655, 348.07
215.034, 347.54
215.413, 347.9
215.792, 340.98
216.17, 340.44
216.549, 352.86
216.928, 342.4
217.306, 351.98
217.685, 338.32
218.064, 347.01
218.442, 348.07
218.82, 321.64
219.199, 345.24
219.577, 347.36
219.956, 348.07
220.334, 324.48
220.712, 352.51
221.091, 358.01
221.469, 352.51
221.847, 366.88
222.225, 357.12
222.603, 343.46
222.981, 356.59
223.359, 354.46
223.737, 340.98
224.115, 340.98
224.493, 342.04
224.871, 349.49
225.249, 338.14
225.627, 359.61
226.004, 341.69
226.382, 353.04
226.76, 344.88
227.137, 357.66
227.515, 338.14
227.893, 347.36
228.27, 353.22
228.648, 345.77
229.025, 358.19
229.403, 333.52
229.78, 358.72
230.157, 333.7
230.535, 373.09
230.912, 358.54
231.289, 342.4
231.667, 364.22
232.044, 373.27
232.421, 354.11
232.798, 366.53
233.175, 359.78
233.552, 345.95
233.929, 359.96
234.306, 342.04
234.683, 359.78
235.06, 359.96
235.437, 358.37
235.814, 364.04
236.19, 358.01
236.567, 348.25
236.944, 351.45
237.32, 374.51
237.697, 351.8
238.074, 352.16
238.45, 366.17
238.827, 350.38
239.203, 362.45
239.58, 365.99
239.956, 353.04
240.332, 365.99
240.709, 355.88
241.085, 365.64
241.461, 354.82
241.838, 356.59
242.214, 358.19
242.59, 364.4
242.966, 364.75
243.342, 370.79
243.718, 340.98
244.094, 362.62
244.47, 351.09
244.846, 365.28
245.222, 365.99
245.598, 368.48
245.973, 377.53
246.349, 354.46
246.725, 374.51
247.101, 365.82
247.476, 375.04
247.852, 353.22
248.228, 363.87
248.603, 351.62
248.979, 367.77
249.354, 352.16
249.73, 364.58
250.105, 356.59
250.48, 374.69
250.856, 377.17
251.231, 377.88
251.606, 376.29
251.981, 373.27
252.357, 366.17
